timestamp,turnover,costs
2023-06-30,1.541372953914927,0.0
2023-07-31,1.2716848247767598,2636.692673472259
2023-08-31,1.1794327990829927,2453.8515638864137
2023-09-30,0.5711820420371266,1189.608093155366
2023-10-31,1.6778937382534702,3461.1187797228067
2023-11-30,1.3588776203134367,2856.894858106112
2023-12-31,1.5387231858978994,3476.717893312769
2024-01-31,0.7324492528394254,1655.9856531217338
2024-02-29,1.6281652358246426,3703.3193635905154
2024-03-31,1.0767986245039043,2431.185555355536
2024-04-30,1.3403277334953299,3060.5720305977156
