tx_cost_bps,slippage_bps,total_friction_bps,return_pct,cagr_pct,sharpe,sortino,max_dd_pct,turnover,trades,total_costs
10.0,0.0,10.0,15.93,18.18,1.057,1.61,6.61,13.91,183,30169.03
10.0,5.0,15.0,14.36,16.38,0.907,1.372,6.77,13.92,185,44959.99
10.0,10.0,20.0,12.78,14.56,0.753,1.131,6.93,13.91,185,59497.62
10.0,20.0,30.0,9.71,11.04,0.446,0.659,7.27,13.91,182,87973.35
10.0,50.0,60.0,0.94,1.06,-0.48,-0.679,8.63,13.91,182,168772.11
