timestamp,portfolio_value,cash,daily_return,drawdown,fees_paid,slippage_paid
2023-06-01 03:45:00+00:00,1000000.0,1000000.0,0.0,0.0,0.0,0.0
2023-06-02 03:45:00+00:00,994523.9985298751,305049.78954550007,-0.0054760014701249315,0.0054760014701249315,694.2559544999999,346.95449999996276
2023-06-05 03:45:00+00:00,999146.2895455001,305049.78954550007,0.00464774205796719,0.0008537104544999311,694.2559544999999,346.95449999996276
2023-06-06 03:45:00+00:00,989161.9315041731,51025.87486354811,-0.009992889075201138,0.010838068495826912,948.0260990374145,473.7761614379406
2023-06-07 03:45:00+00:00,992540.2786721418,51025.87486354811,0.0034153631072633907,0.007459721327858162,948.0260990374145,473.7761614379406
2023-06-08 03:45:00+00:00,990200.1634377668,51025.87486354811,-0.0023577030420424802,0.009799836562233162,948.0260990374145,473.7761614379406
2023-06-09 03:45:00+00:00,985615.7147072981,51025.87486354811,-0.004629820211857477,0.014384285292701911,948.0260990374145,473.7761614379406
2023-06-12 03:45:00+00:00,990640.4041604231,51025.87486354811,0.0050980208393057135,0.009359595839576912,948.0260990374145,473.7761614379406
2023-06-13 03:45:00+00:00,997399.8094283069,51659.2015181506,0.006823268301490741,0.0026001905716931213,1635.1836216199952,817.3553387450497
2023-06-14 03:45:00+00:00,998921.1805220569,51659.2015181506,0.0015253372613155249,0.0010788194779431215,1635.1836216199952,817.3553387450497
2023-06-15 03:45:00+00:00,991110.691508385,51659.2015181506,-0.007818924221418503,0.008889308491614997,1635.1836216199952,817.3553387450497
2023-06-16 03:45:00+00:00,999338.1189986194,51659.2015181506,0.008301219592044698,0.0006618810013806214,1635.1836216199952,817.3553387450497
2023-06-19 03:45:00+00:00,997716.9958296741,51659.2015181506,-0.0016221968702342195,0.002283004170325934,1635.1836216199952,817.3553387450497
2023-06-20 03:45:00+00:00,999759.4822179084,59096.73533070128,0.002047160063195906,0.00024051778209162875,2512.0176126581423,1255.774522460825
2023-06-21 03:45:00+00:00,1003760.589090467,59096.73533070128,0.004002069441424422,0.0,2512.0176126581423,1255.774522460825
2023-06-22 03:45:00+00:00,1000577.4982091193,59096.73533070128,-0.0031711654312229333,0.0031711654312229333,2512.0176126581423,1255.774522460825
2023-06-23 03:45:00+00:00,996291.1168004279,59096.73533070128,-0.004283907459805336,0.007441487911781177,2512.0176126581423,1255.774522460825
2023-06-26 03:45:00+00:00,994381.775430799,59096.73533070128,-0.0019164492560776048,0.009343675933886138,2512.0176126581423,1255.774522460825
2023-06-27 03:45:00+00:00,1000372.8947569181,447664.40598738677,0.006024968954729211,0.003375002336581641,3047.4163389682612,1523.571228332386
2023-06-28 03:45:00+00:00,1003731.7136656095,447664.40598738677,0.003357566889602272,2.8767243077005977e-05,3047.4163389682612,1523.571228332386
2023-06-30 03:45:00+00:00,1007169.6030088712,447664.40598738677,0.0034251078215976768,0.0,3047.4163389682612,1523.571228332386
2023-07-03 03:45:00+00:00,1012592.6606870939,447664.40598738677,0.0053844532857440595,0.0,3047.4163389682612,1523.571228332386
