strategy,period,0_bps_return_pct,10_bps_return_pct,20_bps_return_pct,30_bps_return_pct,50_bps_return_pct,0_bps_sharpe,10_bps_sharpe,20_bps_sharpe,30_bps_sharpe,50_bps_sharpe,0_bps_costs_inr,10_bps_costs_inr,20_bps_costs_inr,30_bps_costs_inr,50_bps_costs_inr,cost_monotonic,viable
Variant E: Turnover-Penalized Monthly + Deadband,Full Multi-Year (2023-01-01 to 2026-09-16),102.79,70.18,87.77,80.76,67.38,0.699,0.707,0.598,0.548,0.448,0.0,52663.93,105264.27,154617.32,247358.86,False,True
Variant E: Turnover-Penalized Monthly + Deadband,Extended OOS (2024-05-01 to 2026-09-16),68.73,65.11,40.62,37.48,51.01,0.727,0.689,0.647,0.576,0.538,0.0,31069.3,59550.95,88406.02,148531.61,False,True
