timestamp,open,high,low,close,volume,datetime
1786727100000,63144.31,63157.09,63116.0,63122.56,27.88796,2026-08-14 17:05:00+00:00
1786727400000,63122.56,63179.77,63122.55,63179.76,32.93109,2026-08-14 17:10:00+00:00
1786727700000,63179.76,63210.32,63166.14,63201.77,44.05148,2026-08-14 17:15:00+00:00
1786728000000,63201.77,63247.05,63200.0,63227.95,77.06944,2026-08-14 17:20:00+00:00
1786728300000,63227.95,63227.95,63186.5,63202.0,27.64697,2026-08-14 17:25:00+00:00
1786728600000,63202.0,63220.0,63176.36,63216.72,30.90536,2026-08-14 17:30:00+00:00
1786728900000,63216.73,63216.73,63125.25,63129.59,33.94054,2026-08-14 17:35:00+00:00
1786729200000,63129.58,63143.19,63075.72,63109.97,42.02851,2026-08-14 17:40:00+00:00
1786729500000,63109.98,63127.16,63106.0,63117.99,22.77737,2026-08-14 17:45:00+00:00
1786729800000,63117.99,63118.0,63071.41,63074.8,21.20739,2026-08-14 17:50:00+00:00
1786730100000,63074.79,63074.79,63000.0,63013.69,65.31814,2026-08-14 17:55:00+00:00
1786730400000,63013.7,63049.92,62958.0,63042.0,53.01476,2026-08-14 18:00:00+00:00
1786730700000,63041.99,63064.39,63022.0,63035.07,24.54149,2026-08-14 18:05:00+00:00
1786731000000,63035.06,63070.0,63000.0,63004.0,36.26268,2026-08-14 18:10:00+00:00
1786731300000,63004.0,63052.2,63004.0,63038.57,17.47826,2026-08-14 18:15:00+00:00
1786731600000,63038.56,63061.71,63028.02,63053.99,36.7216,2026-08-14 18:20:00+00:00
1786731900000,63053.99,63088.21,63036.54,63037.82,23.80127,2026-08-14 18:25:00+00:00
1786732200000,63037.81,63039.15,62948.03,62956.2,26.14317,2026-08-14 18:30:00+00:00
1786732500000,62956.2,63012.37,62956.19,63006.0,24.76067,2026-08-14 18:35:00+00:00
1786732800000,63006.0,63024.0,62972.0,62972.02,26.56395,2026-08-14 18:40:00+00:00
1786733100000,62972.02,62974.53,62894.85,62895.8,38.02643,2026-08-14 18:45:00+00:00
1786733400000,62895.8,62931.09,62895.79,62920.91,25.95931,2026-08-14 18:50:00+00:00
1786733700000,62920.91,62930.01,62917.5,62930.01,34.49679,2026-08-14 18:55:00+00:00
1786734000000,62930.01,62930.01,62870.0,62873.79,43.83118,2026-08-14 19:00:00+00:00
1786734300000,62873.79,62894.0,62852.34,62894.0,27.97716,2026-08-14 19:05:00+00:00
1786734600000,62893.99,62894.0,62856.74,62859.26,24.53572,2026-08-14 19:10:00+00:00
1786734900000,62859.26,62875.05,62830.0,62831.02,28.98069,2026-08-14 19:15:00+00:00
1786735200000,62831.02,62901.48,62831.02,62874.55,46.28008,2026-08-14 19:20:00+00:00
1786735500000,62874.55,62936.49,62874.54,62929.1,26.87598,2026-08-14 19:25:00+00:00
1786735800000,62929.1,62929.1,62888.91,62913.9,22.63192,2026-08-14 19:30:00+00:00
1786736100000,62913.89,62947.33,62909.16,62934.04,36.61476,2026-08-14 19:35:00+00:00
1786736400000,62934.04,62982.99,62922.0,62982.99,29.18995,2026-08-14 19:40:00+00:00
1786736700000,62982.99,62996.0,62947.75,62954.0,55.32591,2026-08-14 19:45:00+00:00
1786737000000,62954.0,62973.82,62952.72,62973.82,19.28012,2026-08-14 19:50:00+00:00
1786737300000,62973.81,62973.82,62943.39,62968.05,33.46198,2026-08-14 19:55:00+00:00
1786737600000,62968.06,63008.0,62964.78,63007.99,27.8093,2026-08-14 20:00:00+00:00
1786737900000,63008.0,63020.74,62985.99,63020.74,149.01827,2026-08-14 20:05:00+00:00
1786738200000,63020.74,63020.74,62974.76,62974.76,15.78253,2026-08-14 20:10:00+00:00
1786738500000,62974.77,62974.77,62934.0,62944.04,25.80335,2026-08-14 20:15:00+00:00
1786738800000,62944.04,62987.44,62944.0,62976.01,22.85108,2026-08-14 20:20:00+00:00
1786739100000,62976.01,62976.01,62942.6,62949.74,28.3704,2026-08-14 20:25:00+00:00
1786739400000,62949.73,62957.28,62932.0,62939.78,35.94051,2026-08-14 20:30:00+00:00
1786739700000,62939.78,62940.0,62912.0,62912.0,12.62732,2026-08-14 20:35:00+00:00
1786740000000,62912.01,62912.51,62912.0,62912.51,4.70361,2026-08-14 20:40:00+00:00
1786740300000,62912.51,62928.06,62909.99,62925.79,8.48157,2026-08-14 20:45:00+00:00
1786740600000,62925.79,62937.22,62910.0,62910.0,13.1778,2026-08-14 20:50:00+00:00
1786740900000,62910.01,62910.01,62896.85,62907.59,14.87191,2026-08-14 20:55:00+00:00
1786741200000,62907.59,62937.22,62898.58,62937.22,15.70392,2026-08-14 21:00:00+00:00
1786741500000,62937.21,62937.22,62900.27,62900.27,9.60065,2026-08-14 21:05:00+00:00
1786741800000,62900.28,62924.0,62900.27,62904.0,14.82871,2026-08-14 21:10:00+00:00
1786742100000,62904.01,62914.0,62894.95,62894.96,6.03138,2026-08-14 21:15:00+00:00
1786742400000,62894.95,62902.0,62888.0,62901.81,11.58623,2026-08-14 21:20:00+00:00
1786742700000,62901.82,62922.53,62892.7,62892.71,21.4425,2026-08-14 21:25:00+00:00
1786743000000,62892.71,62893.31,62873.25,62873.25,6.61577,2026-08-14 21:30:00+00:00
1786743300000,62873.25,62890.05,62873.25,62890.05,15.95663,2026-08-14 21:35:00+00:00
1786743600000,62890.05,62912.0,62877.52,62889.01,27.67862,2026-08-14 21:40:00+00:00
1786743900000,62889.01,62924.42,62876.89,62921.29,27.08115,2026-08-14 21:45:00+00:00
1786744200000,62921.3,62925.36,62886.0,62886.01,14.7532,2026-08-14 21:50:00+00:00
1786744500000,62886.01,62928.49,62884.57,62928.49,8.36724,2026-08-14 21:55:00+00:00
1786744800000,62928.49,62957.28,62912.0,62939.35,24.43853,2026-08-14 22:00:00+00:00
1786745100000,62939.35,62943.64,62896.66,62902.97,17.83254,2026-08-14 22:05:00+00:00
1786745400000,62902.96,62902.97,62833.33,62833.33,36.82987,2026-08-14 22:10:00+00:00
1786745700000,62833.33,62834.49,62800.0,62834.48,45.40527,2026-08-14 22:15:00+00:00
1786746000000,62834.48,62840.16,62817.22,62834.0,12.15294,2026-08-14 22:20:00+00:00
1786746300000,62833.99,62834.0,62823.99,62823.99,4.52742,2026-08-14 22:25:00+00:00
1786746600000,62823.99,62871.41,62823.99,62869.08,36.4479,2026-08-14 22:30:00+00:00
1786746900000,62869.09,62877.91,62869.08,62877.9,6.64324,2026-08-14 22:35:00+00:00
1786747200000,62877.91,62884.0,62877.9,62883.99,3.05225,2026-08-14 22:40:00+00:00
1786747500000,62884.0,62895.99,62880.35,62880.35,10.35511,2026-08-14 22:45:00+00:00
1786747800000,62880.36,62885.86,62876.68,62880.35,19.4677,2026-08-14 22:50:00+00:00
1786748100000,62880.35,62890.67,62868.53,62886.88,9.41928,2026-08-14 22:55:00+00:00
1786748400000,62886.87,62892.0,62884.35,62887.45,8.33897,2026-08-14 23:00:00+00:00
1786748700000,62887.45,62893.5,62887.45,62893.49,6.98255,2026-08-14 23:05:00+00:00
1786749000000,62893.5,62930.0,62893.49,62929.99,9.23655,2026-08-14 23:10:00+00:00
1786749300000,62930.0,62940.0,62891.11,62891.12,26.99262,2026-08-14 23:15:00+00:00
1786749600000,62891.11,62956.81,62865.03,62956.8,118.77866,2026-08-14 23:20:00+00:00
1786749900000,62956.8,62956.81,62934.5,62948.11,11.04665,2026-08-14 23:25:00+00:00
1786750200000,62948.11,62966.87,62929.85,62929.85,10.97579,2026-08-14 23:30:00+00:00
1786750500000,62929.85,62980.0,62905.99,62980.0,25.34299,2026-08-14 23:35:00+00:00
1786750800000,62979.99,63029.53,62974.0,63008.89,60.14728,2026-08-14 23:40:00+00:00
1786751100000,63008.89,63062.0,63008.88,63054.77,18.89999,2026-08-14 23:45:00+00:00
1786751400000,63054.76,63066.13,63018.06,63047.53,20.34859,2026-08-14 23:50:00+00:00
1786751700000,63047.53,63047.54,63027.84,63043.56,12.0005,2026-08-14 23:55:00+00:00
1786752000000,63043.56,63059.5,63026.08,63026.08,14.12534,2026-08-15 00:00:00+00:00
1786752300000,63026.07,63028.0,63008.01,63026.05,8.81245,2026-08-15 00:05:00+00:00
1786752600000,63026.05,63029.61,63012.37,63012.37,4.81749,2026-08-15 00:10:00+00:00
1786752900000,63012.37,63021.73,63012.03,63021.73,8.98943,2026-08-15 00:15:00+00:00
1786753200000,63021.72,63033.41,63003.69,63027.85,12.03051,2026-08-15 00:20:00+00:00
1786753500000,63027.85,63031.89,63000.0,63010.0,61.47788,2026-08-15 00:25:00+00:00
1786753800000,63010.0,63023.97,63009.99,63015.88,11.11326,2026-08-15 00:30:00+00:00
1786754100000,63015.88,63015.89,63000.67,63012.86,4.84898,2026-08-15 00:35:00+00:00
